col_name,feature_importance_vals,oligo full name,Healthy percentage,ME/CFS percentage
agilent_212061,0.15507738117763434,MH0012_GL0005694 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,62.5,37.5
agilent_183889,0.14636320556568533,WP_005425557.1 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,32.5,12.5
agilent_129819,0.136364039399923,MH0113_GL0055733 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,15.0,50.0
agilent_79824,0.11943424717034756,MH0061_GL0017930 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,37.5,25.0
agilent_181972,0.11824801943668257,MH0062_GL0013161 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,42.5,15.0
agilent_106628,0.11739267518562883,O2.UC53-2_GL0085658 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,42.5,15.0
agilent_94148,0.1134868891517908,MH0012_GL0143983 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,57.49999999999999,42.5
agilent_150244,0.11004642738319034,158499257-stool2_revised_scaffold67727_1_gene85513 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,37.5,50.0
agilent_72861,0.09130505959065208,469589.HMPREF0103_2196 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,65.0,55.00000000000001
agilent_129839,0.08758289535198856,MH0172_GL0065659 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,15.0,47.5
agilent_193624,0.08661343913650849,T2D-11A_GL0151524 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,12.5,30.0
agilent_201880,0.08512491013366572,WP_012743453.1 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,57.49999999999999,40.0
agilent_43205,0.07315740032190662,O2.UC48-0_GL0083881 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,50.0,30.0
agilent_73216,0.0718268449069751,WP_007886088.1 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,12.5,45.0
agilent_131884,0.07132856247826566,WP_007884712.1 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,15.0,50.0
agilent_209928,0.0709401645959861,O2.UC53-2_GL0085658 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,55.00000000000001,40.0
agilent_135179,0.07086898117231274,MH0003_GL0005371 (1/1) MPA_and_EM_topgraph_220218_subsample.csv,32.5,25.0
agilent_56259,0.06929234017789895,T2D-105A_GL0053933 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,22.5,52.5
agilent_15204,0.06874268813900927,MH0003_GL0007178 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,27.500000000000004,17.5
agilent_191430,0.06822564253734523,MH0002_GL0031714 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,27.500000000000004,12.5
agilent_192983,0.06730530334104515,MH0012_GL0173413 (2/2) MPA_and_EM_topgraph_220218_subsample.csv,62.5,67.5
agilent_64436,0.06542412957252966,MH0062_GL0064339 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,27.500000000000004,15.0
agilent_126599,0.064676009633306,MH0193_GL0075334 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,22.5,55.00000000000001
agilent_174704,0.06060620972255493,158458797-stool1_revised_scaffold5915_1_gene28910 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,67.5,72.5
agilent_45366,0.05988659357481084,MH0006_GL0111091 (2/2) MPA_and_EM_topgraph_220218_subsample.csv,25.0,15.0
agilent_177201,0.0592818134236768,MH0268_GL0121737 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,22.5,52.5
agilent_200650,0.05635538333578553,MH0458_GL0016438 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,82.5,75.0
agilent_90413,0.05436571586146329,MH0369_GL0102815 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,17.5,45.0
agilent_56127,0.05135888303331739,MH0006_GL0176289 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,27.500000000000004,17.5
agilent_70265,0.050884809268954966,MH0009_GL0052424 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,20.0,22.5
agilent_147318,0.050169314751647084,O2.UC8-1_GL0068365 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,57.49999999999999,47.5
agilent_150795,0.047789839192751066,V1.FI13_GL0078788 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,62.5,70.0
agilent_125065,0.04775596257533038,DOM017_GL0005686 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,27.500000000000004,17.5
agilent_205570,0.04731432754803793,MH0067_GL0008919 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,80.0,70.0
agilent_50246,0.045731292674383896,MH0092_GL0010172 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,12.5,35.0
agilent_129840,0.04555995155213168,MH0044_GL0005871 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,20.0,40.0
agilent_200788,0.04342542537807732,MH0462_GL0114644 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,77.5,65.0
agilent_131887,0.04311833220457175,WP_012744138.1 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,27.500000000000004,55.00000000000001
agilent_131888,0.04281388223598698,WP_007886088.1 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,10.0,35.0
agilent_78269,0.04228027227156418,MH0012_GL0237066 (1/1) MPA_and_EM_topgraph_220218_subsample.csv,22.5,17.5
agilent_200789,0.04199769663864116,MH0188_GL0111429 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,85.0,77.5
agilent_48033,0.040893129147252696,MH0081_GL0068106 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,27.500000000000004,17.5
agilent_131883,0.03968932158600183,MH0437_GL0231446 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,30.0,47.5
agilent_48876,0.039682571832208864,MH0006_GL0012770 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,32.5,22.5
agilent_79560,0.03932334915721185,MH0168_GL0112256 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,75.0,65.0
agilent_64147,0.03862247055948162,MH0012_GL0221699 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,65.0,50.0
agilent_82717,0.03834548715988148,MH0012_GL0168243 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,35.0,20.0
agilent_200833,0.037187744554576053,MH0244_GL0115989 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,80.0,70.0
agilent_204343,0.035408990894502494,MH0105_GL0034973 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,22.5,22.5
agilent_30572,0.034803596028464195,MH0073_GL0045612 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,25.0,15.0
agilent_136654,0.03473960484816415,675950834-stool1_revised_scaffold34866_1_gene47343 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,22.5,17.5
agilent_73127,0.03264444476603785,MH0250_GL0256152 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,12.5,35.0
agilent_148358,0.03175443529236645,V1.FI35_GL0037423 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,50.0,47.5
agilent_206027,0.03141372907808545,764447348-stool1_revised_C488760_1_gene19628 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,42.5,42.5
agilent_73128,0.03025662520071364,MH0010_GL0007892 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,12.5,35.0
agilent_128883,0.029707843243199937,MH0077_GL0059567 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,22.5,50.0
agilent_206029,0.02719088078692039,MH0057_GL0035569 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,82.5,82.5
agilent_206025,0.02536422166147987,MH0108_GL0011167 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,77.5,70.0
agilent_168693,0.023736224597155346,MH0012_GL0147423 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,42.5,40.0
agilent_207470,0.022799280807548707,435591.BDI_0665 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,30.0,25.0
agilent_124605,0.022558456718272744,MH0042_GL0020673 (1/2) MPA_and_EM_topgraph_220218_subsample.csv,35.0,37.5
agilent_131886,0.02238550429510269,MH0260_GL0103278 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,25.0,45.0
agilent_206701,0.02154706746668581,SZEY-64A_GL0055442 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,32.5,57.49999999999999
agilent_55961,0.021268110421478918,MH0059_GL0009188 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,85.0,87.5
agilent_188869,0.020671707174824406,MH0195_GL0084233 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,82.5,87.5
agilent_37449,0.019384733447968754,MH0315_GL0162216 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,25.0,20.0
agilent_131885,0.0191898893048301,MH0010_GL0007892 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,40.0,62.5
agilent_126598,0.01584960678964763,MH0316_GL0084816 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,10.0,30.0
agilent_73215,0.015709372209862522,MH0260_GL0103278 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,12.5,32.5
agilent_174220,0.014862071417910558,MH0133_GL0028481 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,22.5,25.0
agilent_109931,0.01375840246013468,MH0133_GL0028481 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,27.500000000000004,25.0
agilent_52200,0.013737756340997295,MH0012_GL0222931 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,90.0,85.0
agilent_206026,0.013660932423842951,O2.UC53-0_GL0020536 MPA_PNP_EM_seqs_non_topgraph_seqs_final_210318.csv,75.0,72.5
